,,,,         REFRACTIVE INDICES         ,,,,         REFRACTIVE INDICES         ,,,,         REFRACTIVE INDICES         ,,,,         REFRACTIVE INDICES         ,,,,         REFRACTIVE INDICES         ,,,,,,ABBE,,,ABBE,            DISPERSIONS,,,         RELATIVE PARTIAL DISPERSIONS    ,,,,,         RELATIVE PARTIAL DISPERSIONS    ,,,,,         RELATIVE PARTIAL DISPERSIONS    ,,,,,                    RELATIVE PARTIAL DISPERSIONS                                                          ,,,,,,,,,DEVIATION OF RELATIVE PARTIAL DISPERSIONS,,,,,                          CONSTANTS  OF DISPERSION FORMULA (Sellmeier)                            ,,,,,,                          CONSTANTS  OF DISPERSION FORMULA (Cauchy)                            ,,,,,,       COLORING,,                                      INTERNAL  TRANSMISSION  (10mm Thick)            ,,,,,,,,                           INTERNAL  TRANSMISSION  (10mm Thick)            ,,,,,,                                      INTERNAL  TRANSMISSION  (10mm Thick)            ,,,,,,,,                                      INTERNAL  TRANSMISSION  (10mm Thick)            ,,,,,,,,                                      INTERNAL  TRANSMISSION  (10mm Thick)            ,,,,,,,                                       dn/dt  RELATIVE   (10E-6 / ºC),,,,,,                                       dn/dt  RELATIVE   (10E-6 / ºC),,,,,,,,                                       dn/dt  RELATIVE   (10E-6 / ºC),,,,,,,,                                       dn/dt  RELATIVE   (10E-6 / ºC),,,,,,,,                                       dn/dt  RELATIVE   (10E-6 / ºC),,,,,,,,                                       dn/dt  RELATIVE   (10E-6 / ºC),,,,,,,,,,                   THERMAL PROPERTIES                  ,,,,,CTE a (10E-7ºC),,CONDUCTIVITY,                              MECHANICAL PROPERTIES                              ,,,,,,,                                     CHEMICAL PROPERTIES             ,,,,,,BUBBLE GRP,SPEC. GRVTY,Remarks,,
Glass ,Glass ,Code(d),Code(e),n2325,n1970,n1530,n1129,nt,ns,nA',nr,nC,nC',nHe-Ne,nD,nd,ne,nF,nF',nHe-Cd,ng,nh,ni,n334,n326,vd,,,ve,nF-nC,,nF'-nC',nC-nt,nC-nA',nd-nC,ne-nC,ng-nd,ng-nF,nh-ng,ni-ng,nC'-nt,ne-nC',nF'-ne,ni-nF',"qC,t","qC,A'","qd,C","qe,C","qg,d","qg,F","q h,g","q i,g","q'C',t","q'e,C'","q'F',e","q'i,F'","DqC,t","DqC,A'","Dqg,d","Dqg,F","Dq i,g",A1,A2,A3,B1,B2,B3,A0,A1,A2,A3,A4,A5,l80,l5,240,250,260,270,280,290,300,310,320,330,340,350,360,365,370,380,390,400,420,440,460,480,500,550,600,650,700,800,900,1000,1200,1400,1600,1800,2000,2200,2400,t(-40~-20),t(-20~0),t(0~20),t(20~40),t(40~60),t(60~80),C'(-40~-20),C'(-20~0),C'(0~20),C'(20~40),C'(40~60),C'(60~80),633(-40~-20),633(20~0),633(0~20),633(20~40),633(40~60),633(60~80),D(-40~-20),D(-20~0),D(0~20),D(20~40),D(40~60),D(60~80),e(-40~-20),e(-20~0),e(0~20),e(20~40),e(40~60),e(60~80),F'(-40~-20),F'(-20~0),F'(0~20),F'(20~40),F'(40~60),F'(60~80),g(-40~-20),g(-20~0),g(0~20),g(20~40),g(40~60),g(60~80),i(-40~-20),i(-20~0),i(0~20),i(20~40),i(40~60),i(60~80),StP (ºC),AP (ºC),Tg (ºC),At (ºC),SP (ºC),(-30~+70),(100~300),k (W/m·K),Young's (E) ,Rigidity (G),Poisson's(s),Knoop (Hk),Group,Abrasion(Aa),b,RW(P),RA(P),W(S)max,W(S)min,SR,PR,B,d,,,
BSM10,BSM10,623571,,,,,,1.610717,1.6136935,1.6157375,1.6176152,1.6194909,1.6200162,1.6205078,1.6227021,1.6227991,1.6254013,1.6304051,1.6310292,1.6355785,1.6363707,1.641337,1.6498641,,,57.0,56.8,57.06,56.79,0.01092,0.010914,0.011013,0.008774,0.003753,0.003308,0.00591,0.013572,0.005966,0.004966,0.013493,0.009299,0.005385,0.005628,0.018835,0.8039,0.3439,0.3031,0.5415,1.2435,0.5466,0.455,1.2363,0.8444,0.489,0.511,1.7103,-0.0105,-0.0011,-0.0027,-0.0025,-0.0109,,,,,,,2.58911090E+00,-9.87915480E-03,1.55504740E-02,3.66427610E-04,-1.82978180E-05,1.46015320E-06,36,32,,,,,,,,,,,,,,,0.941,0.965,0.977,0.986,0.991,0.992,0.994,0.995,0.997,0.998,0.997,0.996,0.997,0.997,0.997,,,,,,,,,1.7,1.7,1.8,1.9,2,2.3,2,2.1,2.1,2.2,2.3,2.6,2,2.1,2.1,2.2,2.3,2.6,2.1,2.2,2.2,2.4,2.4,2.7,2.3,2.3,2.4,2.5,2.7,2.9,2.5,2.6,2.7,2.9,3.1,3.2,2.9,3,3.1,3.3,3.5,3.6,,,,,,,,,655,680,742,68,80,0.809,820,323,0.269,540,5,152,1.87,2,4,,3,52.2,2.2,1,3.65,,,SO
L-BSM15,BSM15,623580,626578,,,,,1.61098,1.61397,1.61601,1.61787,1.61973,1.62025,1.62073,1.62290,1.62299,1.62555,1.63047,1.63108,1.63554,1.63631,1.64117,1.64944,,,58.0,58.03,,57.77,0.01074,0.010735,0.010828,0.008753,0.003719,0.003262,0.005821,0.01332,0.005847,0.004853,0.013125,0.009272,0.005302,0.005526,0.01836,0.8154,0.3464,0.3039,0.5422,1.2408,0.5447,0.4521,1.2226,0.8563,0.4897,0.5103,1.6956,-0.0036,0.0002,-0.0034,-0.0029,-0.0165,,,,,,,2.5906124E+00,-1.04016290E-02,1.5516243E-02,2.4991384E-04,1.2517801E-06,1.0955256E-07,348,304,,,,,,,,0.13,0.40,0.65,0.81,0.902,0.947,,0.970,0.982,0.988,0.992,0.994,0.994,0.995,0.996,0.998,0.999,0.998,0.998,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531,557,568,609,662,71,85,0.876,898,355,0.263,570,6,146,,3,4,3,,52.0,3.2,,3.52,,,
BSM15,BSM15,623582,,,,,,1.611061,1.6140167,1.616039,1.6178921,1.6197395,1.6202564,1.6207399,1.6228964,1.6229917,1.6255462,1.6304544,1.6310663,1.6355254,1.6363014,1.6411608,1.649458,,,58.2,57.9,58.15,57.87,0.01071,0.010714,0.01081,0.008679,0.003701,0.003252,0.005806,0.013309,0.005847,0.00486,0.013157,0.009195,0.00529,0.00552,0.018392,0.8101,0.3454,0.3035,0.5419,1.2422,0.5457,0.4536,1.228,0.8506,0.4894,0.5106,1.7014,-0.0094,-0.001,-0.0018,-0.0017,-0.0101,,,,,,,2.59024950E+00,-9.88685810E-03,1.56564590E-02,2.11755330E-04,5.76394450E-06,-3.13457390E-08,36,31,,,,,,,,,,,,,0.921,,0.954,0.972,0.981,0.988,0.992,0.993,0.994,0.996,0.997,0.998,0.997,0.997,0.997,,,,,,,,,,,,,,,,,1.8,1.8,1.8,2,2.2,2.4,,,,,,,2.1,2,2,2.2,2.3,2.6,2.2,2.2,2.3,2.4,2.6,2.7,2.5,2.5,2.5,2.7,3,3.1,2.9,2.9,3.1,3.2,3.3,3.4,,,,,,,605,640,652,681,738,70,80,0.817,837,330,0.268,540,5,151,1.84,3,5,,3,52.2,3.2,1,3.65,,,SO
S-BSM15,BSM15,623582,626579,1.5923581,1.5979742,1.6039949,1.6092684,1.6109977,1.6139943,1.6160299,1.6178892,1.6197394,1.6202567,1.6207404,1.6228967,1.6229919,1.6255451,1.6304502,1.6310618,1.6355206,1.6362963,1.6411622,1.6494822,,,58.2,57.9,58.16,57.89,0.01071,0.010711,0.010805,0.008741,0.003709,0.003253,0.005806,0.013304,0.005846,0.004866,0.013186,0.009259,0.005288,0.005517,0.01842,0.8161,0.3463,0.3037,0.5421,1.2421,0.5458,0.4543,1.2311,0.8569,0.4894,0.5106,1.7048,-0.0035,-0.0001,-0.0018,-0.0016,-0.0069,9.53128328E-01,6.37613977E-01,1.65245647E+00,3.87638985E-03,1.85094632E-02,1.59442367E+02,,,,,,,36,32,,,,,,,,,,0.13,0.44,0.7,0.85,,0.926,0.959,0.976,0.985,0.991,0.992,0.994,0.995,0.997,0.998,0.997,0.997,0.998,0.998,0.998,0.998,0.998,0.991,0.994,0.987,0.973,0.918,0.81,1.3,1.4,1.4,1.5,1.6,1.6,1.6,1.7,1.8,1.9,2,2.1,1.6,1.7,1.8,1.9,2,2.1,1.7,1.8,1.9,2,2.1,2.2,1.8,1.9,2,2.2,2.3,2.4,2.1,2.2,2.4,2.5,2.6,2.8,2.4,2.5,2.7,2.8,3,3.1,,,,,,,615,639,658,685,746,65,78,0.845,854,338,0.265,560,6,133,1.8,3,5,2,3,52.2,3.2,1,3.6,,,360
BAM 8,BAM 8,624471,,,,,,1.6096723,1.6130224,1.6153768,1.6175701,1.619785,1.6204092,1.6209947,1.6236236,1.6237403,1.6268892,1.6330289,1.6338022,1.639491,1.6404911,1.6468279,1.658001,,,47.1,46.8,47.10,46.81,0.01324,0.013244,0.013393,0.010113,0.004408,0.003955,0.007104,0.016751,0.007462,0.006337,0.01751,0.010737,0.00648,0.006913,0.024199,0.7636,0.3328,0.2986,0.5364,1.2648,0.5634,0.4785,1.3221,0.8017,0.4838,0.5162,1.8068,-0.0041,-0.0002,-0.0021,-0.0019,-0.0085,,,,,,,2.58305200E+00,-9.80447670E-03,1.79997960E-02,6.25608280E-04,-3.03827710E-05,3.06397650E-06,38,33,,,,,,,,,,,,,,,,0.931,0.955,0.973,0.986,0.99,0.993,0.995,0.996,0.997,0.997,0.996,0.997,,,,,,,,,,,,,,,,,4.6,4.7,4.8,4.9,5.1,5.3,,,,,,,4.9,5,5.1,5.2,5.5,5.7,5.2,5.3,5.4,5.5,5.8,6,5.7,5.8,6,6.1,6.4,6.7,6.3,6.4,6.6,6.8,7,7.3,,,,,,,519,550,570,608,692,63,74,0.782,754,299,0.261,490,5,142,2.73,1,4,,3,52.2,2.2,1,3.62,,,SO
PBM 1,PBM 1,626357,,,,,,1.608221,1.612241,1.6151519,1.6179141,1.6207443,1.6215485,1.6223051,1.6257289,1.6258819,1.6300363,1.638276,1.639326,1.6471318,1.6485189,1.6574136,1.673569,,,35.7,35.4,35.70,35.44,0.01754,0.017532,0.017777,0.012523,0.005592,0.005138,0.009292,0.022637,0.010243,0.008895,0.02505,0.013328,0.008487,0.00929,0.034243,0.7143,0.319,0.2931,0.53,1.2912,0.5842,0.5074,1.4288,0.7497,0.4774,0.5226,1.9263,0.0001,-0.0001,0.0006,0.0005,0.0027,,,,,,,2.57438490E+00,-1.00024640E-02,2.16638200E-02,1.34632940E-03,-8.38872310E-05,7.81547220E-06,36,33,,,,,,,,,,,,,0.91,,0.951,0.969,0.984,0.991,0.995,0.995,0.996,0.997,0.997,0.998,0.998,0.997,0.998,0.999,0.999,,,,,,,,,1.9,1.9,2,2.2,2.5,2.6,2.5,2.7,2.9,3.2,3.5,3.9,2.6,2.8,3,3.3,3.6,3.9,2.8,3,3.3,3.6,3.9,4.2,3.1,3.4,3.6,4,4.3,4.7,4,4.3,4.6,4.9,5.3,5.8,5.2,5.4,5.7,6,6.4,6.8,,,,,,,383,423,440,466,578,89,97,0.779,560,228,0.226,400,4,156,2.75,1,2,1,2,1.0,2.0,1,3.65,,,SO
S-TIM 1,TIM 1,626357,630354,1.5876946,1.5933739,1.5996999,1.6058292,1.60805,1.6121616,1.6151148,1.617901,1.620743,1.6215487,1.6223062,1.6257291,1.6258819,1.6300306,1.6382752,1.6393293,1.6472012,1.6486065,1.6576931,1.6745389,,,35.7,35.4,35.70,35.43,0.01754,0.017532,0.01778,0.012693,0.005628,0.005139,0.009288,0.022725,0.010332,0.009086,0.025932,0.013499,0.008482,0.009298,0.03521,0.724,0.321,0.2931,0.5298,1.2962,0.5893,0.5183,1.4791,0.7592,0.4771,0.5229,1.9803,0.0098,0.0019,0.0056,0.0056,0.053,1.44963830E+00,1.22986408E-01,1.38066723E+00,1.12094282E-02,5.96265770E-02,1.38178326E+02,,,,,,,39,36,,,,,,,,,,,,,0.09,,0.47,0.76,0.89,0.945,0.977,0.984,0.987,0.99,0.992,0.997,0.997,0.996,0.997,0.998,0.998,0.998,0.998,0.993,0.993,0.98,0.965,0.917,0.89,1.4,1.5,1.6,1.7,1.8,1.9,2.1,2.2,2.3,2.4,2.5,2.6,2.1,2.2,2.3,2.4,2.5,2.6,2.3,2.4,2.6,2.7,2.8,2.9,2.6,2.7,2.9,3,3.1,3.2,3.3,3.5,3.6,3.8,3.9,4.1,4.1,4.3,4.5,4.7,4.9,5.1,,,,,,,544,571,602,630,699,81,96,1.043,786,319,0.234,530,5,136,2.82,1,1,1,2,1.0,1.0,1,2.71,,,394
BAM21,BAM21,626392,,,,,,1.609699,1.6134719,1.616184,1.6187427,1.6213513,1.6220903,1.6227849,1.6259191,1.6260589,1.6298453,1.6373161,1.638265,1.6452999,1.6465464,1.654512,1.6688331,,,39.2,38.9,39.21,38.94,0.01597,0.015965,0.016175,0.011652,0.005167,0.004708,0.008494,0.020487,0.00923,0.007966,0.022287,0.012391,0.007755,0.00842,0.030568,0.7298,0.3236,0.2949,0.532,1.2832,0.5781,0.499,1.396,0.7661,0.4794,0.5206,1.8898,-0.0008,0.0002,-0.0001,0.0001,-0.0007,,,,,,,2.57945700E+00,-9.42255770E-03,2.11959260E-02,8.09434900E-04,-2.49221890E-05,3.98612350E-06,37,33,,,,,,,,,,,,,,,0.901,0.932,0.956,0.971,0.984,0.987,0.991,0.994,0.995,0.997,0.997,0.996,0.997,0.998,0.998,,,,,,,,,2.1,2.2,2.3,2.5,2.8,3,3.1,3.2,3.3,3.5,3.7,3.9,3.1,3.2,3.3,3.5,3.8,3.9,3.4,3.5,3.6,3.8,4,4.2,3.7,3.8,3.9,4.1,4.4,4.6,4.5,4.6,4.8,5,5.2,5.5,5.3,5.4,5.6,5.9,6.1,6.5,,,,,,,431,463,478,525,599,82,92,0.798,657,267,0.231,450,4,166,2.51,2,2,,2,2.2,1.2,1,3.63,,,SO
PBM 6,PBM 6,636354,,,,,,1.6182869,1.6223676,1.625347,1.6281806,1.6310856,1.631911,1.6326875,1.6362009,1.6363578,1.6406197,1.649074,1.650152,1.6581715,1.6595978,1.6687504,1.6853789,,,35.4,35.1,35.38,35.12,0.01798,0.017988,0.018241,0.012799,0.005739,0.005272,0.009534,0.02324,0.010524,0.009152,0.025781,0.013624,0.008709,0.009532,0.035227,0.7115,0.319,0.2931,0.53,1.292,0.5851,0.5088,1.4332,0.7469,0.4774,0.5226,1.9312,-0.0012,0.0003,0.0008,0.0009,0.0044,,,,,,,2.60400040E+00,-8.95032630E-03,2.38118010E-02,9.70805920E-04,-3.07074940E-05,5.43972010E-06,37,33,,,,,,,,,,,,,,,0.913,0.946,0.969,0.982,0.991,0.993,0.995,0.996,0.997,0.998,0.997,0.997,0.998,0.998,0.998,,,,,,,,,,,,,,,3.7,3.8,3.9,4,4.4,4.4,,,,,,,4,4.1,4.2,4.5,4.8,4.8,4.4,4.5,4.6,4.8,5.2,5.3,5.3,5.4,5.5,5.7,6.2,6.3,6.2,6.4,6.6,6.9,7.4,7.5,,,,,,,392,426,443,473,573,85,94,0.809,590,241,0.225,420,4,160,2.62,2,1,,2,1.0,2.0,1,3.74,,,SO
S-TIM 6,TIM 6,636354,641351,1.59788,1.60348,1.60977,1.61592,1.61816,1.62234,1.62534,1.62819,1.63110,1.63192,1.63269,1.63620,1.63636,1.64061,1.64908,1.65016,1.65824,1.65968,1.66899,,,,35.4,35.39,,35.12,0.01798,0.017981,0.018239,0.012934,0.005750,0.005263,0.009517,0.023323,0.010605,0.009307,,0.013758,0.008693,0.009546,,0.7193,0.3198,0.2927,0.5293,1.2971,0.5898,0.5176,,0.7543,0.4766,0.5234,,0.0066,0.0011,0.0059,0.0056,,1.41315067E+00,1.91465400E-01,1.68833255E+00,9.95172814E-03,5.27932739E-02,1.68804627E+02,,,,,,,39,36,,,,,,,,,,,,,,,0.14,0.49,0.73,0.860,0.935,0.959,0.968,0.975,0.982,0.993,0.993,0.992,0.994,0.999,0.999,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539,568,597,627,693,83,102,1.018,789,319,0.235,530,5,148,,2,1,1,,1.0,1.0,,2.79,,,
S-BAM12,BAM12,639449,643446,1.6047968,1.6103982,1.6165332,1.6222344,1.6242212,1.6278084,1.6303315,1.6326823,1.6350567,1.6357261,1.6363539,1.6391746,1.6392999,1.6426837,1.6493039,1.6501403,1.6563134,1.6574014,1.6643296,1.676645,,,44.9,44.6,44.87,44.59,0.01424,0.014247,0.014414,0.010836,0.004725,0.004243,0.007627,0.018101,0.008097,0.006929,0.019244,0.011505,0.006958,0.007456,0.026505,0.7606,0.3316,0.2978,0.5353,1.2705,0.5683,0.4863,1.3507,0.7982,0.4827,0.5173,1.8388,0.0034,0.0014,-0.001,-0.0006,0.0014,1.50161605E+00,1.26987445E-01,1.43544052E+00,9.40761826E-03,4.72602195E-02,1.41666499E+02,,,,,,,39,35,,,,,,,,,,,,0.13,0.49,,0.75,0.87,0.928,0.955,0.977,0.983,0.987,0.99,0.993,0.997,0.996,0.996,0.997,0.998,0.998,0.998,0.998,0.992,0.995,0.987,0.976,0.932,0.86,2.3,2.3,2.3,2.4,2.4,2.4,2.6,2.7,2.7,2.8,2.8,2.9,2.7,2.7,2.8,2.8,2.9,2.9,2.8,2.9,3,3,3.1,3.1,3,3.1,3.2,3.3,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.5,4.6,4.7,,,,,,,565,592,608,645,717,76,91,0.954,904,361,0.253,550,6,144,2.3,2,1,2,,3.2,1.0,1,3.18,,,398
BAM12,BAM12,639449,,,,,,1.62446,1.6279216,1.6303924,1.6327129,1.6350692,1.6357352,1.6363605,1.6391751,1.6393004,1.6426848,1.6493147,1.6501523,1.6563295,1.6574181,1.6643319,1.6765797,,,44.9,44.6,44.88,44.58,0.01424,0.014246,0.014417,0.010609,0.004677,0.004231,0.007616,0.018118,0.008103,0.006914,0.019162,0.011275,0.00695,0.007467,0.026428,0.7447,0.3283,0.297,0.5346,1.2718,0.5688,0.4853,1.3451,0.7821,0.4821,0.5179,1.8331,-0.0125,-0.002,0.0003,-0.0001,-0.0041,,,,,,,2.62858230E+00,-9.08587270E-03,1.95519020E-02,6.69892780E-04,-2.51015350E-05,3.04777730E-06,38,33,,,,,,,,,,,,,,,,0.916,0.946,0.966,0.982,0.988,0.991,0.994,0.996,0.997,0.997,0.996,0.997,0.997,0.997,,,,,,,,,2.3,2.7,2.8,3,3.3,3.6,2.9,3.4,3.5,3.6,3.8,3.9,2.9,3.5,3.6,3.6,3.9,4,3.2,3.6,3.7,3.8,4.1,4.2,3.4,3.9,4.1,4.2,4.4,4.5,4.1,4.4,4.6,4.8,5.1,5.2,4.6,5.2,5.4,5.6,5.8,5.9,,,,,,,527,558,570,616,696,76,87,0.715,722,287,0.26,470,5,171,2.27,1,3,2,3,52.2,3.2,1,3.8,,,SO
S-BSM18,BSM18,639554,641551,1.6067787,1.6124926,1.6186091,1.6240132,1.6258084,1.62895,1.6311028,1.6330793,1.6350536,1.6356068,1.6361245,1.6384367,1.638539,1.6412854,1.6465838,1.6472464,1.6520888,1.6529334,1.6582461,1.6673901,,,55.4,55.1,55.38,55.10,0.01153,0.01153,0.011639,0.009246,0.003951,0.003485,0.006231,0.014394,0.006349,0.005313,0.014457,0.009799,0.005678,0.005961,0.020144,0.8019,0.3427,0.3023,0.5404,1.2484,0.5507,0.4608,1.2539,0.8419,0.4878,0.5122,1.7307,-0.0046,-0.0003,-0.0013,-0.0012,-0.0074,1.17997553E+00,4.57534888E-01,1.25404461E+00,5.18384733E-03,2.31665670E-02,1.20593261E+02,,,,,,,38,34,,,,,,,,,,0.01,0.19,0.52,0.75,,0.88,0.938,0.966,0.98,0.99,0.994,0.995,0.997,0.998,0.999,0.998,0.998,0.999,0.998,0.998,0.997,0.996,0.991,0.992,0.983,0.969,0.914,0.8,1.2,1.2,1.3,1.4,1.4,1.5,1.5,1.6,1.7,1.8,1.8,1.9,1.5,1.6,1.7,1.8,1.9,2,1.7,1.8,1.8,1.9,2,2.1,1.8,1.9,2,2.1,2.2,2.3,2.1,2.2,2.3,2.5,2.6,2.7,2.4,2.6,2.7,2.8,3,3.1,,,,,,,611,637,661,692,736,69,81,0.825,871,343,0.27,540,5,157,1.76,3,5,3,,53.2,4.2,1,3.69,,,416
PBM27,PBM27,640345,,,,,,1.6212482,1.6254174,1.6284726,1.6313833,1.6343706,1.6352199,1.6360191,1.6396375,1.6397992,1.6441937,1.6529281,1.6540433,1.6623511,1.6638305,1.6733339,1.690624,,,34.5,34.2,34.48,34.22,0.01856,0.018557,0.018823,0.013123,0.005898,0.005428,0.009823,0.024032,0.010903,0.009503,0.026793,0.013972,0.008974,0.009849,0.036581,0.7072,0.3178,0.2925,0.5293,1.295,0.5875,0.5121,1.4438,0.7423,0.4768,0.5232,1.9434,-0.0012,0.0002,0.0019,0.0018,0.0075,,,,,,,2.61241090E+00,-8.73165890E-03,2.48577820E-02,8.87786160E-04,-9.26402550E-06,4.50287230E-06,36,33,,,,,,,,,,,,,,,0.945,0.966,0.981,0.99,0.994,0.995,0.996,0.997,0.998,0.998,0.998,0.998,0.998,0.999,0.999,,,,,,,,,,,,,,,3.2,3.2,3.3,3.5,3.7,3.8,,,,,,,3.6,3.6,3.8,3.9,4.1,4.2,4,4,4.2,4.3,4.5,4.7,4.9,4.9,5.2,5.4,5.6,5.9,6,6.1,6.3,6.5,6.7,7.1,,,,,,,382,424,455,488,592,88,98,0.768,542,221,0.228,400,4,174,2.7,2,1,,2,1.0,2.0,1,3.78,,,SO
S-TIM27,TIM27,640345,644342,1.6003649,1.6060783,1.6124922,1.6187825,1.621083,1.6253667,1.6284585,1.631384,1.6343752,1.6352244,1.6360232,1.6396374,1.639799,1.6441893,1.6529385,1.6540589,1.6624361,1.6639327,1.6736125,,,,34.5,34.2,34.46,34.20,0.01856,0.018564,0.018835,0.013292,0.005916,0.005424,0.009814,0.024134,0.010994,0.00968,,0.014141,0.008965,0.00987,,0.716,0.3187,0.2922,0.5287,1.3,0.5922,0.5214,,0.7508,0.476,0.524,,0.0076,0.0011,0.0069,0.0065,,1.41680470E+00,1.96785057E-01,1.68001322E+00,1.00732158E-02,5.37616908E-02,1.64672436E+02,,,,,,,39,36,,,,,,,,,,,,,0.05,,0.41,0.73,0.87,0.935,0.973,0.983,0.987,0.99,0.992,0.997,0.997,0.996,0.997,0.999,0.998,0.998,0.998,0.995,0.994,0.984,0.973,0.936,0.919,1.2,1.3,1.3,1.4,1.4,1.5,1.9,2,2.1,2.1,2.2,2.3,1.9,2,2.1,2.2,2.3,2.4,2.2,2.3,2.4,2.5,2.6,2.7,2.5,2.6,2.7,2.8,2.9,3,3.2,3.3,3.5,3.7,3.8,4,4,4.2,4.4,4.6,4.8,5.1,,,,,,,543,572,594,629,696,80,99,1.035,793,321,0.236,560,6,141,2.83,1,1,2,,1.0,1.0,1,2.76,,,408
S-BSM81,BSM81,640601,643599,1.6038896,1.6114083,1.6191872,1.6255671,1.6275312,1.6307931,1.6329316,1.6348479,1.6367301,1.637253,1.6377407,1.6399038,1.6399989,1.6425405,1.6473837,1.6479847,1.6523502,1.653107,1.6578371,1.665859,,,60.1,59.9,60.07,59.87,0.01065,0.010654,0.010732,0.009199,0.003798,0.003269,0.005811,0.013108,0.005723,0.00473,0.012752,0.009722,0.005288,0.005444,0.017874,0.8634,0.3565,0.3068,0.5454,1.2303,0.5372,0.444,1.1969,0.9059,0.4927,0.5073,1.6655,0.0349,0.0078,-0.0097,-0.0071,-0.0251,1.55250839E+00,9.53908897E-02,1.27547489E+00,1.11607655E-02,-2.08950411E-02,9.35161633E+01,,,,,,,37,31,,,,,,,0.02,0.08,0.19,0.35,0.53,0.69,0.8,,0.88,0.929,0.955,0.97,0.984,0.988,0.992,0.994,0.996,0.997,0.995,0.996,0.997,0.997,0.996,0.995,0.995,0.991,0.992,0.984,0.961,0.88,0.61,2.9,2.9,3,3,3.1,3.1,3.1,3.2,3.3,3.4,3.5,3.6,3.1,3.2,3.3,3.4,3.5,3.6,3.2,3.3,3.4,3.5,3.6,3.7,3.3,3.4,3.5,3.6,3.7,3.8,3.6,3.7,3.8,3.9,4,4.2,3.8,4,4.1,4.2,4.4,4.5,,,,,,,620,645,670,694,721,59,73,0.997,1061,415,0.28,670,7,89,2.01,4,5,3,,53.0,4.0,1,3.06,,,264
S-BSM93,BSM93,641569,,,,,,1.6284393,1.6315751,1.6337028,1.6356475,1.6375852,1.6381275,1.6386347,1.6408982,1.6409982,1.6436822,1.6488453,1.6494894,1.6541862,1.6550042,1.6601327,1.6689397,,,56.9,56.7,56.93,56.66,0.01126,0.01126,0.011361,0.009146,0.003882,0.003413,0.006097,0.014006,0.006159,0.005129,0.013936,0.009689,0.005554,0.005807,0.019451,0.8123,0.3448,0.3031,0.5415,1.2439,0.547,0.4555,1.2377,0.8528,0.4889,0.5111,1.7121,-0.0015,-0.0001,-0.0026,-0.0024,-0.0106,,,,,,,2.64812670E+00,-1.15534710E-02,1.55175310E-02,5.32117310E-04,-3.39068700E-05,2.09934600E-06,37,33,,,,,,,,,,,,,,,0.934,0.963,0.978,0.985,0.99,0.992,0.992,0.994,0.996,0.997,0.996,0.996,0.997,,,,,,,,,,,1.2,1.1,1.3,1.3,1.5,1.5,1.5,1.5,1.6,1.7,1.9,2.1,1.6,1.6,1.6,1.7,1.9,2.1,1.7,1.7,1.7,1.9,2,2.2,1.8,1.8,1.9,2,2.2,2.4,2,2.1,2.2,2.4,2.6,2.9,2.4,2.4,2.6,2.7,3,3.2,,,,,,,611,641,672,692,743,67,80,0.827,891,351,0.271,550,6,146,1.83,4,5,,3,53.0,3.2,1,3.7,,,SO
BAM 9,BAM 9,643479,,,,,,1.6290639,1.6324282,1.6348051,1.6370242,1.6392681,1.6399009,1.6404944,1.6431609,1.6432794,1.6464755,1.6527118,1.6534976,1.6592778,1.6602937,1.666724,1.6780059,,,47.9,47.5,47.85,47.55,0.01344,0.013444,0.013597,0.010204,0.004463,0.004011,0.007208,0.017015,0.007582,0.00643,0.017712,0.010837,0.006575,0.007022,0.024508,0.759,0.332,0.2983,0.5361,1.2656,0.564,0.4783,1.3175,0.797,0.4836,0.5164,1.8025,-0.0122,-0.0019,0.0003,0,-0.0068,,,,,,,2.64469590E+00,-9.43970930E-03,1.89050350E-02,5.03960960E-04,-6.93258640E-06,1.54745610E-06,38,33,,,,,,,,,,,,,,,,0.918,0.948,0.967,0.983,0.988,0.991,0.994,0.996,0.997,0.996,0.996,0.997,0.997,0.997,,,,,,,,,2.4,2.4,2.5,2.6,2.7,2.9,3,3.1,3.2,3.3,3.5,3.7,3.1,3.2,3.3,3.4,3.5,3.7,3.4,3.4,3.5,3.6,3.7,3.9,3.4,3.5,3.6,3.8,4,4.2,4,4.1,4.2,4.4,4.6,4.9,4.5,4.6,4.8,5,5.2,5.5,,,,,,,555,592,615,643,716,69,80,0.749,761,300,0.267,490,5,174,1.98,1,4,,3,52.2,3.2,1,3.85,,,SO
